consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
303,019010,0,0,0,3,51,1,0,0,3,4,1.33,17449.35,7994.43,3958.73,1998.61,3497.57,0,19426.88,4856.72,1,1,1.00,1.00,9.87
304,019011,0,1,1,1,43,1,0,0,3,3,1.00,31578.09,0.00,0.00,19986.13,11591.96,0,35107.96,11702.65,1,1,1.00,1.00,10.47
305,019012,2,0,2,1,68,0,0,0,2,2,1.00,3350.83,0.00,2101.58,0.00,1249.25,0,3350.83,1675.42,1,1,1.00,1.00,8.12
306,019013,0,2,0,1,35,0,0,1,2,2,1.00,7250.56,0.00,255.41,0.00,6995.15,0,10779.32,5389.66,1,1,1.00,1.00,9.29
307,019014,1,0,7,2,50,4,0,0,2,7,3.50,6114.70,3597.50,1299.10,0.00,1218.10,0,7222.34,1031.76,1,1,1.00,1.00,8.88
308,019015,0,1,1,3,60,0,0,0,3,3,1.00,8710.44,3197.78,1515.43,3997.23,0.00,0,12205.62,4068.54,1,1,1.00,1.00,9.41
309,019016,0,4,4,2,28,1,0,3,1,4,4.00,5677.32,0.00,5677.32,0.00,0.00,0,6068.12,1517.03,1,1,1.00,1.00,8.71
310,019018,0,0,0,2,38,0,0,1,1,3,3.00,17183.67,17183.67,0.00,0.00,0.00,0,21094.09,7031.36,1,1,1.00,1.00,9.96
311,019019,0,5,5,1,42,1,0,2,2,5,2.50,25066.39,24982.67,0.00,0.00,83.72,0,24394.74,4878.95,1,1,1.00,1.00,10.10
312,019021,2,0,4,1,28,2,0,3,1,4,4.00,4287.07,4287.07,0.00,0.00,0.00,1,4791.18,1197.79,0,0,0.00,1.00,8.47
313,019022,1,0,0,0,76,0,0,0,1,1,1.00,4196.37,0.00,0.00,0.00,4196.37,1,4196.37,4196.37,1,0,1.00,1.00,8.34
314,019024,0,1,5,0,33,2,0,0,1,5,5.00,2386.66,0.00,66.67,0.00,2319.99,1,2386.66,477.33,1,0,1.00,1.00,7.78
315,019025,0,0,4,1,43,2,0,0,1,4,4.00,1368.44,593.21,0.00,0.00,775.23,1,1973.37,493.34,1,0,1.00,1.00,7.59
316,019026,0,0,0,1,34,0,0,2,1,3,3.00,4631.69,4596.81,0.00,0.00,0.00,1,5438.27,1812.76,1,0,1.00,1.00,8.60
317,019027,0,2,1,1,37,1,0,0,2,4,2.00,6195.70,3197.78,0.00,0.00,2997.92,1,7002.27,1750.57,1,0,1.00,1.00,8.85
318,019028,1,1,2,2,55,0,0,0,2,2,1.00,4996.53,2997.92,1998.61,0.00,0.00,1,7748.62,3874.31,1,0,1.00,1.00,8.96
319,019029,1,3,3,1,25,0,0,2,1,3,3.00,5995.84,5995.84,0.00,0.00,0.00,1,6348.72,2116.24,0,0,1.00,1.00,8.76
320,019030,0,0,3,3,54,1,0,1,3,6,2.00,16211.10,9993.07,5682.06,0.00,535.98,1,17434.66,2905.78,1,0,0.00,1.00,9.77
321,019031,1,0,1,2,79,0,0,0,2,3,1.50,1363.98,0.00,366.10,0.00,997.88,1,2352.05,784.02,1,0,1.00,1.00,7.76
322,019032,0,0,1,0,49,2,0,0,3,5,1.67,6024.24,0.00,0.00,0.00,6024.24,1,6669.54,1333.91,1,0,1.00,1.00,8.81
323,019033,0,0,4,1,42,1,0,1,1,4,4.00,2809.64,1272.17,1339.73,0.00,197.74,1,4386.42,1096.61,0,0,1.00,1.00,8.39
324,019034,0,5,5,3,42,1,0,4,3,5,1.67,7994.45,0.00,7994.45,0.00,0.00,1,9994.10,1998.82,1,0,1.00,1.00,9.21
